run,method,model,KS_avg,W1_avg,FrobCorrDist,SignMatch,AUC_TRTR,AUC_TSTR,AUC_TSTR_plus
5,SMOTE,LR,0.026613053668890017,0.05480682703334218,0.5093804202487558,0.7777777777777778,0.5433366733466933,0.5337863226452906,0.538069889779559
5,SMOTE,RF,0.026613053668890017,0.05480682703334218,0.5093804202487558,0.7777777777777778,0.640740856713427,0.6505103957915831,0.6465900551102204
5,SMOTE,GBC,0.026613053668890017,0.05480682703334218,0.5093804202487558,0.7777777777777778,0.608191382765531,0.6162199398797594,0.5982778056112225
5,SMOTE,HGBT,0.026613053668890017,0.05480682703334218,0.5093804202487558,0.7777777777777778,0.6408191382765531,0.643812625250501,0.633066132264529
5,BorderlineSMOTE,LR,0.029587924179152292,0.059670491625043516,0.6044538303199388,0.7222222222222222,0.5433366733466933,0.5369864729458917,0.5395791583166333
5,BorderlineSMOTE,RF,0.029587924179152292,0.059670491625043516,0.6044538303199388,0.7222222222222222,0.640740856713427,0.6430360721442887,0.6483780060120241
5,BorderlineSMOTE,GBC,0.029587924179152292,0.059670491625043516,0.6044538303199388,0.7222222222222222,0.608191382765531,0.6257546342685372,0.6161698396793588
5,BorderlineSMOTE,HGBT,0.029587924179152292,0.059670491625043516,0.6044538303199388,0.7222222222222222,0.6408191382765531,0.6351202404809619,0.6251377755511023
5,ADASYN,LR,0.03152900371332635,0.06427863486390886,0.5999434161077608,0.6666666666666666,0.5433366733466933,0.538689879759519,0.5407753006012024
5,ADASYN,RF,0.03152900371332635,0.06427863486390886,0.5999434161077608,0.6666666666666666,0.640740856713427,0.6406938877755513,0.654183366733467
5,ADASYN,GBC,0.03152900371332635,0.06427863486390886,0.5999434161077608,0.6666666666666666,0.608191382765531,0.6125250501002004,0.6050319388777556
5,ADASYN,HGBT,0.03152900371332635,0.06427863486390886,0.5999434161077608,0.6666666666666666,0.6408191382765531,0.6327905811623247,0.6625751503006012
5,AZR,LR,0.0418109037291254,0.047055187966946424,0.598619878812557,0.6944444444444444,0.5433366733466933,0.5364165831663327,0.5379133266533067
5,AZR,RF,0.0418109037291254,0.047055187966946424,0.598619878812557,0.6944444444444444,0.640740856713427,0.5681581913827656,0.6398202655310622
5,AZR,GBC,0.0418109037291254,0.047055187966946424,0.598619878812557,0.6944444444444444,0.608191382765531,0.5585953156312625,0.6197958416833667
5,AZR,HGBT,0.0418109037291254,0.047055187966946424,0.598619878812557,0.6944444444444444,0.6408191382765531,0.5683617234468937,0.6183053607214429
